chain_id,chain_title,expected_behavior,model,stage,run_count,replicate_count,gold_step_count,action_step_recall,critical_evidence_recall,behavior_sequence_order,candidate_claim_precision,overclaim_slot_count,overclaim_per_run
chain_19_e13_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage1,3,3,2,0.556,0.167,0.333,0.400,15,5.00
chain_19_e13_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage2,3,3,2,0.333,0.167,0.333,0.185,22,7.33
chain_19_e13_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage3,3,3,2,0.722,0.333,0.333,0.409,13,4.33
chain_19_e13_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage1,3,3,2,0.667,0.667,0.667,0.750,4,1.33
chain_19_e13_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage2,3,3,2,0.889,0.833,0.667,1.000,0,0.00
chain_19_e13_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage3,3,3,2,1.000,1.000,1.000,1.000,0,0.00
chain_19_e13_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage1,1,1,2,1.000,1.000,1.000,0.571,6,6.00
chain_19_e13_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage2,1,1,2,1.000,1.000,1.000,0.727,3,3.00
chain_19_e13_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage3,1,1,2,1.000,1.000,1.000,0.727,3,3.00
chain_21_e15_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage1,3,3,2,0.778,0.333,0.333,0.619,8,2.67
chain_21_e15_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage2,3,3,2,0.500,0.167,0.000,0.615,5,1.67
chain_21_e15_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage3,3,3,2,0.167,0.000,0.000,0.667,1,0.33
chain_21_e15_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage1,3,3,2,0.667,0.667,0.667,0.667,4,1.33
chain_21_e15_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage2,3,3,2,0.833,0.833,0.667,1.000,0,0.00
chain_21_e15_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage3,3,3,2,1.000,1.000,1.000,1.000,0,0.00
chain_21_e15_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage1,1,1,2,1.000,1.000,1.000,0.615,5,5.00
chain_21_e15_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage2,1,1,2,1.000,1.000,1.000,0.889,1,1.00
chain_21_e15_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage3,1,1,2,1.000,1.000,1.000,0.615,5,5.00
chain_22_e16_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage1,3,3,2,0.944,0.333,1.000,0.850,3,1.00
chain_22_e16_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage2,3,3,2,0.444,0.167,0.333,0.562,7,2.33
chain_22_e16_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage3,3,3,2,0.500,0.333,0.333,0.667,4,1.33
chain_22_e16_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage1,3,3,2,1.000,1.000,1.000,0.850,3,1.00
chain_22_e16_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage2,3,3,2,1.000,1.000,1.000,0.826,4,1.33
chain_22_e16_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage3,3,3,2,0.889,0.833,0.667,1.000,0,0.00
chain_22_e16_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage1,1,1,2,1.000,1.000,1.000,0.889,1,1.00
chain_22_e16_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage2,1,1,2,1.000,1.000,1.000,0.889,1,1.00
chain_22_e16_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage3,1,1,2,1.000,1.000,1.000,0.615,5,5.00
chain_23_e17_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage1,3,3,2,0.500,0.333,0.000,0.375,10,3.33
chain_23_e17_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage2,3,3,2,0.667,0.167,0.000,0.524,10,3.33
chain_23_e17_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage3,3,3,2,0.667,0.667,0.667,0.500,12,4.00
chain_23_e17_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage1,3,3,2,1.000,1.000,1.000,1.000,0,0.00
chain_23_e17_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage2,3,3,2,1.000,1.000,1.000,1.000,0,0.00
chain_23_e17_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage3,3,3,2,1.000,1.000,1.000,1.000,0,0.00
chain_23_e17_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage1,1,1,2,1.000,1.000,1.000,0.889,1,1.00
chain_23_e17_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage2,1,1,2,1.000,1.000,1.000,0.615,5,5.00
chain_23_e17_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage3,1,1,2,1.000,1.000,1.000,0.667,4,4.00
chain_24_e18_cmdexe_other_chain,cmd.exe alert behavior chain,cmd.exe alert behavior chain,gpt-4.1-mini,stage1,3,3,3,0.630,0.333,0.333,0.378,28,9.33
chain_24_e18_cmdexe_other_chain,cmd.exe alert behavior chain,cmd.exe alert behavior chain,gpt-4.1-mini,stage2,3,3,3,0.630,0.222,0.000,0.362,37,12.33
chain_24_e18_cmdexe_other_chain,cmd.exe alert behavior chain,cmd.exe alert behavior chain,gpt-4.1-mini,stage3,3,3,3,0.370,0.111,0.167,0.500,10,3.33
chain_24_e18_cmdexe_other_chain,cmd.exe alert behavior chain,cmd.exe alert behavior chain,gpt-5.4-mini,stage1,3,3,3,0.444,0.444,0.333,0.400,9,3.00
chain_24_e18_cmdexe_other_chain,cmd.exe alert behavior chain,cmd.exe alert behavior chain,gpt-5.4-mini,stage2,3,3,3,0.926,1.000,0.667,0.367,38,12.67
chain_24_e18_cmdexe_other_chain,cmd.exe alert behavior chain,cmd.exe alert behavior chain,gpt-5.4-mini,stage3,3,3,3,0.852,0.889,0.667,0.447,21,7.00
chain_24_e18_cmdexe_other_chain,cmd.exe alert behavior chain,cmd.exe alert behavior chain,gpt-5.5 low raw,stage1,1,1,3,1.000,1.000,1.000,0.500,12,12.00
chain_24_e18_cmdexe_other_chain,cmd.exe alert behavior chain,cmd.exe alert behavior chain,gpt-5.5 low raw,stage2,1,1,3,1.000,1.000,1.000,0.545,10,10.00
chain_24_e18_cmdexe_other_chain,cmd.exe alert behavior chain,cmd.exe alert behavior chain,gpt-5.5 low raw,stage3,1,1,3,1.000,1.000,1.000,0.375,15,15.00
chain_25_e18_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-4.1-mini,stage1,3,3,3,0.889,0.556,0.667,0.636,12,4.00
chain_25_e18_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-4.1-mini,stage2,3,3,3,0.370,0.000,0.000,0.314,24,8.00
chain_25_e18_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-4.1-mini,stage3,3,3,3,0.519,0.222,0.333,0.550,9,3.00
chain_25_e18_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-5.4-mini,stage1,3,3,3,0.852,0.667,1.000,0.345,19,6.33
chain_25_e18_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-5.4-mini,stage2,3,3,3,0.889,0.889,0.667,0.400,21,7.00
chain_25_e18_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-5.4-mini,stage3,3,3,3,0.741,0.778,0.500,0.317,28,9.33
chain_25_e18_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-5.5 low raw,stage1,1,1,3,1.000,1.000,1.000,0.706,5,5.00
chain_25_e18_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-5.5 low raw,stage2,1,1,3,1.000,1.000,1.000,0.667,6,6.00
chain_25_e18_dns_packet_capture_batch_chain,DNS packet capture batch execution,DNS packet capture batch execution,gpt-5.5 low raw,stage3,1,1,3,1.000,1.000,1.000,0.667,6,6.00
chain_26_e18_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage1,3,3,2,0.500,0.167,0.000,0.450,11,3.67
chain_26_e18_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage2,3,3,2,0.556,0.333,0.000,0.216,29,9.67
chain_26_e18_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-4.1-mini,stage3,3,3,2,0.444,0.167,0.000,0.167,30,10.00
chain_26_e18_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage1,3,3,2,0.833,0.500,0.667,0.476,11,3.67
chain_26_e18_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage2,3,3,2,0.833,0.667,0.667,0.444,10,3.33
chain_26_e18_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.4-mini,stage3,3,3,2,0.889,0.833,0.667,0.677,10,3.33
chain_26_e18_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage1,1,1,2,1.000,1.000,1.000,0.571,6,6.00
chain_26_e18_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage2,1,1,2,1.000,1.000,1.000,0.800,2,2.00
chain_26_e18_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,stage3,1,1,2,1.000,1.000,1.000,0.571,6,6.00
